"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-10-31,"27614","NC","Raleigh","Wake","Raleigh",2614,1194,0.000838222967309304,0.00420521446593776,0.00336134453781513,483
2017-10-31,"14226","NY","Buffalo","Erie","Amherst",2615,969,0.00103305785123967,0.0157232704402516,0.0464362850971922,645
2017-10-31,"19136","PA","Philadelphia","Philadelphia","Philadelphia",2616,1128,0,0.00894454382826476,0.00177619893428064,7458
2017-10-31,"33813","FL","Lakeland","Polk","Lakeland Highlands",2617,1070,0.0122989593188269,0.024904214559387,0.024904214559387,518
2017-10-31,"77093","TX","Houston","Harris","Houston",2618,1234,0.0008110300081103,0.00488599348534202,-0.0056406124093473,519
2017-10-31,"98444","WA","Seattle","Pierce","Parkland",2619,1282,0.00865460267505901,0.0256,0.0855207451312447,884
2017-10-31,"38104","TN","Memphis","Shelby","Memphis",2620,798,-0.00992555831265509,-0.0232558139534884,-0.00746268656716418,2366
2017-10-31,"12203","NY","Albany","Albany","Albany",2621,1196,-0.00664451827242525,-0.0156378600823045,0.00419815281276238,1723
2017-10-31,"42001","KY","Paducah","McCracken","Paducah",2622,1032,0,0.022794846382557,0.030969030969031,276
2017-10-31,"68506","NE","Lincoln","Lancaster","Lincoln",2623,1213,-0.00817661488143908,-0.0146222583265638,0.00497100248550124,1946
2017-10-31,"60005","IL","Chicago","Cook","Arlington Heights",2624,1392,-0.00143472022955524,0.00143884892086331,-0.0313152400835073,5094
2017-10-31,"95209","CA","Stockton","San Joaquin","Stockton",2625,1189,0.0016849199663016,0.0214776632302405,0.143269230769231,952
2017-10-31,"98370","WA","Bremerton","Kitsap","Poulsbo",2626,1287,0.00233644859813084,0.0222398729150119,0.0888324873096447,332
2017-10-31,"35603","AL","Decatur","Morgan","Decatur",2627,699,0.00286944045911047,0.0145137880986938,0,129
2017-10-31,"28270","NC","Charlotte","Mecklenburg","Charlotte",2628,1285,0.00390625,0.0126083530338849,0.0337892196299276,1546
2017-10-31,"21212","MD","Baltimore","Baltimore City","Baltimore",2629,1337,0.00450788880540947,0.00526315789473684,-0.0190755685986794,861
2017-10-31,"06489","CT","Hartford","Hartford","Southington",2630,1323,0.00227272727272727,0.00227272727272727,0.00455580865603645,2300
2017-10-31,"28409","NC","Wilmington","New Hanover","Wilmington",2631,1130,0.00266193433895297,0.018018018018018,0.126620139581256,252
2017-10-31,"94952","CA","Santa Rosa","Sonoma","Petaluma",2632,2412,-0.0106644790812141,-0.0238769728854715,0.0211685012701101,1407
2017-10-31,"70123","LA","New Orleans","Jefferson","River Ridge",2633,1248,-0.0016,0.00726392251815981,0.0212765957446809,273
2017-10-31,"33770","FL","Tampa","Pinellas","Largo",2634,1138,0.000879507475813544,-0.00524475524475524,-0.00350262697022767,1815
2017-10-31,"77477","TX","Houston","Fort Bend","Stafford",2635,1280,0,-0.0062111801242236,-0.0553505535055351,275
2017-10-31,"48152","MI","Detroit","Wayne","Livonia",2636,1283,0.0054858934169279,0.028869286287089,0.0754400670578374,1688
2017-10-31,"24073","VA","Blacksburg","Montgomery","Christiansburg",2637,1094,-0.00182481751824818,0.0253045923149016,0.0320754716981132,154
2017-10-31,"32958","FL","Vero Beach","Indian River","Sebastian",2638,1409,0.00642857142857143,0.029218407596786,0.0780413159908187,1196
2017-10-31,"33619","FL","Tampa","Hillsborough","Palm River-Clair Mel",2639,1146,0.00350262697022767,0.00350262697022767,0.0105820105820106,2141
2017-10-31,"37803","TN","Knoxville","Blount","Maryville",2640,1109,-0.00982142857142857,-0.0220458553791887,-0.0203180212014134,390
2017-10-31,"85203","AZ","Phoenix","Maricopa","Mesa",2641,1144,0.00704225352112676,0.0241718889883617,0.0573012939001848,1515
2017-10-31,"94526","CA","San Francisco","Contra Costa","Danville",2642,2699,-0.00552689756816507,-0.0131627056672761,0.00671391271913465,693
2017-10-31,"78727","TX","Austin","Travis","Austin",2643,1527,0,0.000655307994757536,0.00725593667546174,1115
2017-10-31,"78731","TX","Austin","Travis","Austin",2644,1643,-0.000608272506082725,-0.00121580547112462,0.000609013398294762,1848
2017-10-31,"68134","NE","Omaha","Douglas","Omaha",2645,995,0.00100603621730382,0.0205128205128205,0.0506863780359029,419
2017-10-31,"84067","UT","Ogden","Weber","Roy",2646,837,0.0157766990291262,0.0608365019011407,0.0528301886792453,484
2017-10-31,"98201","WA","Seattle","Snohomish","Everett",2647,1494,-0.00333555703802535,-0.0119047619047619,0.0491573033707865,1991
2017-10-31,"77382","TX","Houston","Montgomery","The Woodlands",2648,1491,0.00201612903225806,0.00336473755047106,-0.0177865612648221,573
2017-10-31,"75252","TX","Dallas-Fort Worth","Dallas","Dallas",2649,1469,0.00410116199589884,0.0054757015742642,0.00616438356164384,1200
2017-10-31,"94941","CA","San Francisco","Marin","Mill Valley",2650,3965,0.00481500253421186,-0.00451920662816972,-0.0102346480279581,2195
2017-10-31,"06770","CT","New Haven","New Haven","Naugatuck",2651,1139,0.00529567519858782,0.0169642857142857,0.00440917107583774,2535
2017-10-31,"20877","MD","Washington","Montgomery","Gaithersburg",2652,1750,-0.00114155251141553,-0.00511654349061967,-0.0107405313736574,3711
2017-10-31,"85213","AZ","Phoenix","Maricopa","Mesa",2653,1129,0.0116487455197133,0.0357798165137615,0.0620884289746002,1080
2017-10-31,"21703","MD","Washington","Frederick","Frederick",2654,1534,0.00261437908496732,0.00130548302872063,0.0072225869993434,5853
2017-10-31,"14626","NY","Rochester","Monroe","Town of Greece",2655,792,-0.00126103404791929,0.0127877237851662,0.0366492146596859,115
2017-10-31,"33705","FL","Tampa","Pinellas","Saint Petersburg",2656,1295,0.000772797527047913,-0.00461183704842429,0.0477346278317152,2214
2017-10-31,"55311","MN","Minneapolis-St Paul","Hennepin","Maple Grove",2657,1514,0.00531208499335989,0.0133868808567604,0.0521195274496178,3709
2017-10-31,"63108","MO","St. Louis","Saint Louis City","Saint Louis",2658,1348,-0.0029585798816568,-0.00663227708179808,0.00597014925373134,4036
2017-10-31,"93036","CA","Ventura","Ventura","Oxnard",2659,2368,0.00084530853761623,0.00808854831843338,0.0637915543575921,2341
2017-10-31,"33990","FL","Fort Myers","Lee","Cape Coral",2660,1143,0,-0.00953206239168111,-0.036256323777403,1899
2017-10-31,"60046","IL","Chicago","Lake","Lindenhurst",2661,1434,0,0.00702247191011236,0.0027972027972028,752
2017-10-31,"98499","WA","Seattle","Pierce","Lakewood",2662,1316,0.00611620795107034,0.0257209664848012,0.0804597701149425,1404
2017-10-31,"90220","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Compton",2663,2212,0.00362976406533575,0.00636942675159236,0.105447276361819,1516
2017-10-31,"80120","CO","Denver","Arapahoe","Littleton",2664,1788,0.000559597090095132,0.00393037619314992,0.0153321976149915,2491
2017-10-31,"11105","NY","New York","Queens","New York",2665,2269,-0.00656742556917688,-0.00132042253521127,-0.0164716081491114,5907
2017-10-31,"60652","IL","Chicago","Cook","Chicago",2666,1373,0.000728862973760933,0.00659824046920821,0.0276946107784431,825
2017-10-31,"33823","FL","Lakeland","Polk","Auburndale",2667,795,0.00252206809583859,-0.00125628140703518,0.0728744939271255,369
2017-10-31,"06611","CT","Stamford","Fairfield","Trumbull",2668,2135,-0.0156754264638082,-0.0210912425492893,-0.0434587813620072,1184
2017-10-31,"92806","CA","Los Angeles-Long Beach-Anaheim","Orange","Anaheim",2669,2390,0.00335852225020991,0.00504625735912532,0.0514738231412231,1141
2017-10-31,"33317","FL","Miami-Fort Lauderdale","Broward","Plantation",2670,1376,0.00291545189504373,0.00658376005852231,0.0253353204172876,3592
2017-10-31,"95351","CA","Modesto","Stanislaus","Modesto",2671,1151,0.022202486678508,0.0425724637681159,0.1579476861167,692
2017-10-31,"27205","NC","Greensboro","Randolph","Asheboro",2672,1034,-0.0171102661596958,0.019723865877712,0.154017857142857,260
2017-10-31,"95901","CA","Yuba City","Yuba","Marysville",2673,1060,-0.00562851782363977,0.00378787878787879,0.125265392781316,938
2017-10-31,"77034","TX","Houston","Harris","Houston",2674,1157,0.00696257615317668,0.0414041404140414,0.0302760463045414,148
2017-10-31,"22701","VA","Washington","Culpeper","Culpeper",2675,1148,-0.0238095238095238,-0.0779116465863454,-0.120980091883614,244
2017-10-31,"02150","MA","Boston","Suffolk","Chelsea",2676,2228,0.00586907449209932,0.0095151789759855,0.0141101502048248,4850
2017-10-31,"95661","CA","Sacramento","Placer","Roseville",2677,1583,0.00444162436548223,0.0134443021766965,0.131522516082916,585
2017-10-31,"30308","GA","Atlanta","Fulton","Atlanta",2678,1637,0.000611246943765281,0.00306372549019608,0.0400254129606099,5435
2017-10-31,"01810","MA","Boston","Essex","Town of Andover",2679,1879,0.00481283422459893,0.0102150537634409,0.0346916299559471,2269
2017-10-31,"93458","CA","Santa Maria-Santa Barbara","Santa Barbara","Santa Maria",2680,1436,-0.00622837370242215,-0.0144131777625257,0.0249821556031406,247
2017-10-31,"10465","NY","New York","Bronx","New York",2681,1858,-0.00428724544480171,-0.0127523910733262,0.0180821917808219,5459
