"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-10-31,85624,"62674","IL","St. Louis","Macoupin","Palmyra",14907,60000,-0.0212071778140294,-0.032258064516129,-0.121522693997072,0.0314249347238447,0.0128653932829546,"2016-06","2016-Q2",72400,-0.171270718232044,"2014-04"
2017-10-31,93467,"80545","CO","Fort Collins","Larimer","Red Feather Lakes",14908,209400,0.00383509108341323,-0.0108644307982995,0.0091566265060241,0.0606458958239933,,"2016-09","2016-Q3",213200,-0.0178236397748593,"2016-06"
2017-10-31,63368,"14028","NY","Buffalo","Niagara","Town of Newfane",14909,150900,0.00868983957219251,0.0154777927321669,0.0942712110224801,0.0339503117663995,,"2017-10","2017-Q4",150900,0,"2017-10"
2017-10-31,97351,"93604","CA","Madera","Madera","Bass Lake",14910,255800,0.025250501002004,0.0264847512038523,0.0273092369477912,-0.0395577853087862,,"2011-07","2011-Q3",377800,-0.322922181048174,
2017-10-31,74804,"38379","TN",,"McNairy","Stantonville",14911,73100,-0.0187919463087248,-0.00679347826086957,0.0687134502923977,0.0656170212605947,0.0101167942004006,"2017-08","2017-Q3",74900,-0.0240320427236315,"2017-07"
2017-10-31,78004,"46165","IN","Indianapolis","Hendricks","North Salem",14912,136100,0.0318423047763457,0.0525908739365816,0.101132686084142,0.0298264729812261,0.0194983490480243,"2017-02","2017-Q1",137800,-0.0123367198838897,"2017-02"
2017-10-31,94161,"83434","ID","Idaho Falls","Jefferson","Menan",14913,163800,0.0173913043478261,0.0314861460957179,0.0993288590604027,0.0548805192765984,0.011639691689006,"2017-10","2017-Q4",163800,0,"2017-10"
2017-10-31,64232,"15673","PA","Pittsburgh","Armstrong","North Apollo",14914,83500,0.00360576923076923,0.0182926829268293,0.00481347773766546,0.045014543446033,-0.00757849059971627,"2008-01","2008-Q1",97500,-0.143589743589744,"2006-06"
2017-10-31,82458,"55797","MN","Duluth","Carlton","Wrenshall",14915,185300,0.0243228302929795,0.0498583569405099,0.117611580217129,0.067134027670785,0.00960927861343142,"2017-10","2017-Q4",185300,0,"2017-10"
2017-10-31,80007,"49879","MI","Marquette","Marquette","Republic",14916,88000,0.0045662100456621,-0.00789177001127396,-0.0677966101694915,0.0324862619926234,,"2017-04","2017-Q2",100200,-0.121756487025948,"2016-05"
2017-10-31,81179,"53057","WI","Fond du Lac","Fond du Lac","Mount Calvary",14917,168700,0.0113908872901679,0.0230442692540934,0.087685364281109,0.030882908773112,0.0202160238022373,"2017-10","2017-Q4",168700,0,"2017-10"
2017-10-31,84881,"61283","IL","Sterling","Whiteside","Tampico",14918,83100,-0.0269320843091335,-0.0631341600901917,-0.00120192307692308,0.0229147092612676,0.0157179846938331,"2001-09","2001-Q3",114500,-0.274235807860262,"1998-02"
2017-10-31,82393,"55710","MN","Duluth","Saint Louis","Mountain Iron",14919,140800,-0.00353857041755131,0.00859598853868195,0.0180766449746927,0.0279017806991928,-0.000777911314190916,"2014-06","2014-Q2",143400,-0.0181311018131102,"2014-05"
2017-10-31,82545,"55991","MN","Rochester","Wabasha","Zumbro Falls",14920,269600,0.00559492726594554,-0.0110051357300073,0.0609996064541519,0.0674807607012442,0.0203539023186723,"2017-07","2017-Q3",272600,-0.0110051357300073,"2017-07"
