"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","28721","NC","""Asheville, NC""",9656,117,12.621359223301,109.5,4.2,7.52433936022253
"Zip","28778","NC","""Asheville, NC""",9825,117,37.5,67,6.4,7.52433936022253
"Zip","28730","NC","""Asheville, NC""",10011,117,20.7547169811321,96,8.6,7.52433936022253
"Zip","28731","NC","""Asheville, NC""",10053,117,17.5824175824176,146,9.6,7.52433936022253
"Zip","28754","NC","""Asheville, NC""",10333,117,12.0689655172414,112,3.6,7.52433936022253
"Zip","28785","NC","""Asheville, NC""",10386,117,14.2857142857143,144.5,6.8,7.52433936022253
"Zip","28759","NC","""Asheville, NC""",10720,117,12.3076923076923,95,2.2,7.52433936022253
"Zip","28751","NC","""Asheville, NC""",11025,117,14.2857142857143,107,5.2,7.52433936022253
"Zip","30606","GA","""Athens-Clarke County, GA""",2626,219,11.1510791366906,83,6.66666666666667,1.30737134909597
"Zip","30605","GA","""Athens-Clarke County, GA""",2993,219,11.4457831325301,69,2.22222222222222,1.30737134909597
"Zip","30601","GA","""Athens-Clarke County, GA""",7072,219,10.4477611940299,96.5,5.55555555555556,1.30737134909597
"Zip","30677","GA","""Athens-Clarke County, GA""",8232,219,10.6382978723404,83,4.44444444444444,1.30737134909597
"Zip","30607","GA","""Athens-Clarke County, GA""",10217,219,5,73,1.11111111111111,1.30737134909597
"Zip","30622","GA","""Athens-Clarke County, GA""",10346,219,19.4029850746269,80,8.88888888888889,1.30737134909597
"Zip","30646","GA","""Athens-Clarke County, GA""",10705,219,11.7647058823529,81,7.77777777777778,1.30737134909597
"Zip","30683","GA","""Athens-Clarke County, GA""",10724,219,12.1951219512195,68,3.33333333333333,1.30737134909597
"Zip","30621","GA","""Athens-Clarke County, GA""",11167,219,18.3098591549296,92,10,1.30737134909597
"Zip","30349","GA","""Atlanta-Sandy Springs-Roswell, GA""",1292,9,12.8364389233954,88.5,6.79487179487179,1.86369958275382
"Zip","30044","GA","""Atlanta-Sandy Springs-Roswell, GA""",1359,9,9.1358024691358,55,0.256410256410256,1.86369958275382
"Zip","30043","GA","""Atlanta-Sandy Springs-Roswell, GA""",1442,9,17.9577464788732,56,3.33333333333333,1.86369958275382
"Zip","30096","GA","""Atlanta-Sandy Springs-Roswell, GA""",1445,9,12.992125984252,52.5,0.705128205128205,1.86369958275382
"Zip","30024","GA","""Atlanta-Sandy Springs-Roswell, GA""",1582,9,21.6,60,7.82051282051282,1.86369958275382
"Zip","30281","GA","""Atlanta-Sandy Springs-Roswell, GA""",1597,9,16.6276346604215,78,8.52564102564103,1.86369958275382
"Zip","30062","GA","""Atlanta-Sandy Springs-Roswell, GA""",1794,9,20.952380952381,60,7.5,1.86369958275382
"Zip","30331","GA","""Atlanta-Sandy Springs-Roswell, GA""",1855,9,12.5698324022346,77,4.23076923076923,1.86369958275382
"Zip","30080","GA","""Atlanta-Sandy Springs-Roswell, GA""",1860,9,16.9133192389006,61,4.42307692307692,1.86369958275382
"Zip","30188","GA","""Atlanta-Sandy Springs-Roswell, GA""",1863,9,17.7304964539007,57.5,3.84615384615385,1.86369958275382
"Zip","30022","GA","""Atlanta-Sandy Springs-Roswell, GA""",1888,9,19.3396226415094,59,5.83333333333333,1.86369958275382
"Zip","30040","GA","""Atlanta-Sandy Springs-Roswell, GA""",1898,9,15.8918918918919,65,5.25641025641026,1.86369958275382
"Zip","30052","GA","""Atlanta-Sandy Springs-Roswell, GA""",1912,9,13.8438880706922,66,3.58974358974359,1.86369958275382
"Zip","30041","GA","""Atlanta-Sandy Springs-Roswell, GA""",1942,9,20.9779179810726,75,9.74358974358974,1.86369958275382
"Zip","30318","GA","""Atlanta-Sandy Springs-Roswell, GA""",1951,9,13.0526315789474,59,1.53846153846154,1.86369958275382
"Zip","30135","GA","""Atlanta-Sandy Springs-Roswell, GA""",2029,9,17.2117039586919,69,7.43589743589744,1.86369958275382
